Name,Gender
Badshah,m
Shalmali Kholgade,f
Gurdeep Mehendi,m
Samira Koppikar,f
Shreya Ghoshal,f
Brijesh Shandilya,m
Dino James,m
Kailash Kher,m
Swaroop Khan,m
Guru Randhawa,m
Tochi Raina,m
Divya Kumar,f
DIVINE,m
Aavrutti,f
D’Evil,m
Shah Rule,m
Dave East,m
Sharib Sabri,m
Mohit Chauhan,m
Nitin Mukesh,m
Jubin Nautiyal,m
Saloni Thakkar,f
Amit Mishra,m
Akasa Singh,f
Amartya,f
Dev Arijit,m
GD 47,m
Sukriti Kakar,f
Tanishk Bagchi,m
Yasser Desai,m
Asees Kaur,f
Nabeel Shaukat,m
Ranjit Bawa,m
Mannat Noor,m
Arijit Singh,m
Neha Kakkar,f
Yash Narvekar,m
Danish Sabri,m
Sukhwinder Singh,m
Shadab Faridi,m
Mika Singh,m
Farhad Samji,m
Vishal Dadlani,m
Sohail Sen,m
Altamash Faridi,m
Jyotica Tangri,f
Sona Mohapatra,f
Asha Bhosle,f
Vishal Mishra,m
Sunidhi Chauhan,f
Jyoti Nooran,f
Priya Saraiya,f
Jonita Gandhi,f
Sachin-Jigar,m
Nikhita Gandhi,f
Benny Dayal,m
Darshan Raval,m
Arjun Kanungo,m
Lisa Mishra,f
Shashwat Singh,m
Antara Mitra,f
Nikhil D’Souza,m
Baani Sandhu,f
Singga,m
Sidhu Moose Wala,m
Arko,m
Aakanksha Sharma,f
Shilpa Rao,f
Alyssa Mendonsa,f
Raghuvir Yadav,m
Shankar Mahadevan,m
Vikram Khajuria,m
Ali,m
Vikram Montrose,m
Ankit Tiwari,m
Deepali Sathe,f
Bhoomi Trivedi,f
Dev Negi,m
Sachet Tandon,m
Parampara Thakur,f
Hansraj Raghuwanshi,m
Ash King,m
Monali Thakur,f
KK,m
Nakash Aziz,m
Manish Tipu,m
Geet Sagar,m
Sreerama Chandra,m
Amitabh Bhattacharya,m
Tushar Joshi,m
Jass Zaildar,m
Khushboo Grewal,f
Palak Muchhal,f
Meet Bros,m
Amit Gupta,m
Raja Hasan,m
Romy,m
Anand Bhaskar,m
Abhijeet Srivastava,m
Vibha Saraf,f
Ranu Mondal,f
Himesh Reshammiya,m
Aaryan Tiwari,m
Harshdeep Kaur,m
Alamgir Khan,m
Anusha Mani,f
Navraj Hans,m
Dhvani Bhanushali,f
Tulsi Kumar,m
B Praak,m
Amir Khan,m
Protijyoti Ghosh,f
Daniel,m
Surabhi Dashputra,f
Arjunna Harjaie,m
Arun Dev Yadav,m
Navv Inder,m
Raja Kumari,m
Ravi Mishra,m
Neeti Mohan,m
Yo Yo Honey Singh,m
Ashok Mastie,m
Pravesh Mallick,m
Asim Azhar,m
Zenab,m
Jabar Abbas,m
Shiraz Uppal,m
Raktima Mukherjee,f
Mustafa Zahid,m
Mustahsan Khan,m
Atif Aslam,m
Ali Sethi,m
Zeb Bangash,f
Neeraj Shridhar,m
Enbee,m
Rico,m
Payal Dev,f
Abhijeet,m
Chandra Dixit,f
Jasbir Jassi,m
Diljit Dosanjh,m
Guru Bhullar,m
Akash D,m
Arohi Mhatre,f
Aditi Prabhudesai,f
Pragati Joshi,f
Maithili Panse,f
Sonal Naik,f
Rucha Soman,f
Deepti Rege,f
Deepanshi Nagar,f
Ann Fernandes,m
Dr,m
Shivika Rajesh,f
Riddhi Sampat,f
Kinjal Shah,f
Umesh Joshi,m
Vijay Dhuri,m
Mandar Pilvalkar,m
Vivek Naik,m
Rahul Chitnis,m
Saurabh Wakhare,m
Janardan Dhatrak,m
Gaurav Medatwal,m
Chaitanya Shinde,f
Abhishek Jhawar,m
Nimish Shah,m
Yash Kapoor,m
Mayukh Pareek,m
Hrithik Roshan,m
Prem Areni,m
Chaitally Parmar,f
Udit Narayan,m
Mame Khan,m
R Venkatraman,m
Amit Trivedi,m
Armaan Malik,m
Slow Cheetah,m
Dee MC,m
Kaam Bhaari,m
Spitfire,m
Priyani Vani,f
Toshi,m
Kanika Kapoor,f
Ikka,m
Tony Kakkar,m
Shail Hada,m
Rutvik Talashilkar,m
Aanandi Joshi,f
Shreyas Puranik,m
Adarsh Shinde,m
Raj Ranjodh,m
Shipra Goyal,f
Akhil Sachdeva,m
Neha Bhasin,f
Kamaal Khan,f
Deane Sequeira,f
Sanam Puri,m
Shekhar Ravjiani,m
Kishore Kumar,m
Marianne,f
Garry Sandhu,m
Mellow D,m
Shashi Suman,m
Yash Wadali,m
Parmish Verma,m
Goldy,m
Prabh Gill,m
Kamal Heer,m
Aditya Narayan,m
Shirley Setia,f
Abhijit Vaghani,m
Salim Merchant,m
Yo,m
Javed Ali,m
Vaishali Mhade,f
Mohit Pathak,m
Kavita Seth,f
Shriram Iyer,m
K Mohan,m
Sameer Khan,m
Sonu Nigam,m
Amitabh Bachchan,m
Clinton Cerejo,m
Jizzy,m
Salman Khan,m
Shaan,m
Subhro,m
Parineeti Chopra,f
Yuvraj Hans,m
Karan Sehmbi,m
Akhil,m
Sunanda Sharma,f
Ranveer Singh,m
Naezy,m
D’EVIL,m
Nexus,m
Rahul Raahi,m
Emiway,m
D-cypher,m
BeatRAW,m
Big Sid,m
Shashwat Sachdev,m
Vivek Hariharan,m
Ena Marley,f
Ananya Bhat,f
Vijay Prakash,m
Santhosh Venki,f
Sachin Basrur,m
Puneeth Rudranag,m
Mohan,m
H.,m
Vijay Aurs,m
Ravi Basrur,m
Goldi,m
Rahat Fateh Ali Khan,m
Kumar Sanu,m
Shashaa Tirupati,f
Rahat,m
Shaadab Faridi,m
Kunal Ganjawala,m
Abhay Jodhpurkar,m
Bilal Saeed,m
Pratibha Baghel,f
Singhsta,m
Simar Kaur,f
Fazilpuria,m
Raftaar,m
Raghav Sachar,m
Shafqat,m
Ayushmann Khurrana,m
Jordan,m
Shafqat Amanat Ali,m
Nawazuddin Siddiqui,m
Mannan Shaah,m
Aastha Gill,f
Shahid Mallya,m
Akanksha Bhandari,f
KK-singer,m
Shadaab Faridi,m
Vishal Bhardwaj,m
Rekha Bhardwaj,f
Ronkini Gupta,f
Papon,m
Gurnam Bhullar,m
Ammy Virk,f
Neetu Bhalla,m
Kamal Khan,m
Divya Bhatt,f
Harshit Saxena,m
Prakriti Kakar,f
Palomi Ghosh,f
Ronit Sarkar,m
Meenal Jain,f
Yashita Sharma,f
Yashika Sikka,f
Rani Kaur,f
Anita Gandharva,f
Meghna Mishra,f
Vaishnavi Mishra,f
Devender Pal Singh,m
Bhanu,f
Jazim Sharma,m
Vijay Yamla,m
Suhas Sawant,m
Mast Ali,m
Sikander Kahlon,m
Amit Sharma,m
Babul Supriyo,f
Sathyaprakash,m
Andrea Jeremiah,f
Shivangi Bhayana,f
Mudassar Aziz,m
Jassi Gill,m
Sonakshi Sinha,f
Sachin Sanghvi,m
Jigar Saraiya,m
Jordi Patel,m
Disha Sharma,f
Akash Ojha,m
Rekha,f
Dharmendra,m
Shatrughan Sinha,m
Hardy Sandhu,m
Deep Kahlon,m
Revant Shergill,m
Iulia Vantur,f
Vineet Singh,m
Akshay Kumar,m
Karan Singh Arora,m
Girik Aman,m
Wajid,m
Gurinder,f
Altamash,m
Nettle,m
Gurinder Seagal,f
Ali Zafar,m
Aima Baig,f
Ajay Gogavale,m
Atul Gogavale,m
Daler Mehndi,m
Shehnaz Akhtar,m
Hemant Brijwasi,m
Sahil Akhtar,m
Ehsaan Noorani,m
Ranbir Kapoor,m
Supriya Pathak,f
Poorvi Koutish,f
Veera Saxena,f
Shivai Vyas,m
Ashwin Kulkarni,m
Aaroh Velankar,m
Anurag Sharma,m
Himanshu Shirlekar,m
Shubham Shirule,m
Sunny MR,m
Deep Money,m
Keerthi Sagathia,f
Babu Haabi,m
Aditi,f
Nikita Ahuja,f
Lulia Vantur,m
Sharvi Yadav,f
Jasleen Royal,f
Amrinder Gill,m
Hiral Brahmbhatt,f
Rishi Kapoor,m
Bir Singh,m
Gurshabad,m
Haricharan,m
Gajendra Verma,m
Ishan Mitra,m
Mahalakshmi Iyer,f
BIG Dhillon,m
Jatinder Singh,m
Siddharth Basrur,m
Shruti Pathak,f
Parry G,m
Gippy Grewal,m
Kulwinder Billa,m
Rajvir Jawanda,m
Sharan Maan,m
Pawni Pandey,f
Happy Raikoti,m
Jaz Dhami,m
Rahul Jain,m
Amrita Singh,f
Khusboo Grewal,f
Sajid,m
Manj Musik,m
Rochak Kohli,m
Zack Knight,m
Ishers,m
Raxstar,m
Akshay Verma,m
Mohammed Irfan Ali,m
Tanishq Gaur,m
Tanishq Kaur,m
Arnab Dutta,m
Piyush Mehroliyaa,m
Mohammed Irfan,m
Shree D,m
Mohammed Rafi,m
Anirudh Ravichander,m
Lil Golu,m
Swati Sharma,f
Mamta Sharma,f
Richa Sharma,f
Shivam Pathak,m
Mujtaba,m
Kunal Pandit,m
Farhan Sabri,m
Kavita Krishnamurthy,f
Krishna Beura,m
Asit Tripathy,m
Nooran Sisters,f
Raghu Dixit,m
Veet Baljit,m
Tarannum Malik,m
Roach Killa,m
Anu Malik,m
Simran,f
Dilpreet Dhillon,m
Sharry Mann,m
Ninja,m
Rajnigandha Shekhawat,f
Master,m
Ritu Pathak,f
Abhishek Nailwal,m
Sameer Uddin,m
Sidharth Malhotra,m
Nusrat Fateh Ali Khan,m
Neeraj Arya’s Kabir Café,m
Vidya Vox,f
ARJUN,m
Vickey Prasad,m
Arpita Mukherjee,f
Apeksha Dandekar,f
Amaal Mallik,m
Mohd. Irfan,m
Cuca Roseta,m
Pardeep Singh Sran,m
Pritam,m
Aman Trikha,m
Shefali Alvares,f
Satinder Sartaaj,m
Dee Ajayi,m
Sukhbir,m
Mehak Malhotra,f
Millind Gaba,m
Gupz Sehra,m
Mehtab Virk,m
Amrit Maan,m
Asses Kaur,f
Renesa Baadchi,f
Pranaay,m
Nandini Deb,f
Rahul Pandey,m
Siddharth Mahadevan,m
Ashwin,m
Aroh,m
Sunny,m
Taz – Stereo Nation,m
Sanjeev Chimmalgi,m
Ramya Behara,f
Karan Aujla,m
Jass Manak,m
Gagan Kokri,m
Ambili,f
Sonia Sharma,f
KD,m
Juggy D,m
Shivi,f
AR Rahman,m
Pardeep,m
Taniskaa Sanghvi,f
SUKHBIR,m
Shraddha Kapoor,f
Veronica Mehta,f
Anushka Shahaney,f
Ami Mishra,f
Rahul Mishra,m
Farhan Saeed,m
Roshan Prince,m
Sanah Moidutty,f
Dominique Cerejo,m
Nimrat Khaira,f
Gurpreet Maan,m
Khan Saab,m
Karamjit Anmol,m
Tarsem Jassar,m
Kulbir Jhinjer,m
Mankirat Pannu,m
Aditi Singh Sharma,f
Shilpi Paul,f
Anushka Sharma,f
Amber Vashisht,m
Alia Bhatt,f
Mansheel Gujral,m
Gurjazz,m
Jazzy B,m
Jasmine Sandlas,f
Bappi Lahiri,m
Anuradha Paudwal,f
Ameen Sayani,m
Jassie Gill,m
Babbal Rai,m
O.S. Arun,m
Gulzar,m
Murtuza Mustafa,m
Qadir Mustafa,m
Nindy Kaur,f
Roshan Rathod,m
Ram Sampath,m
Karsan Sagathia,m
Hardeep Grewal,m
Sarwar Khan,m
Sartaz,m
Chinmayi Sripada,f
Akbar Sami,m
Priyanka Chopra,f
John Abraham,m
Neuman Pinto,m
Bohemia,m
Shibani Sur,f
Swati Sharrma,f
Zora Randhawa,f
Fateh Doe,m
Rupali,f
Farhan NTF,m
